record_id,customer_id,amount,recorded_at,region
R1001,C-2001,149.99,2026-01-05T09:12:00,US-EAST
R1002,C-2002,89.50,2026-01-05T09:14:30,US-WEST
R1003,C-2001,24.00,2026-01-05T10:02:11,US-EAST
R1004,C-2003,512.75,2026-01-05T10:45:00,EU-WEST
R1005,C-2004,15.20,2026-01-05T11:03:47,EU-CENTRAL
R1006,C-2002,999.00,2026-01-05T11:30:00,US-WEST
R1007,C-2005,43.10,2026-01-05T12:01:22,APAC
R1008,C-2003,7.25,2026-01-05T12:20:05,EU-WEST
R1009,C-2006,301.40,2026-01-05T13:11:09,APAC
R1010,C-2001,60.00,2026-01-05T13:45:00,US-EAST
